id,id_municipio,id_tipo_institucion,id_nivel_institucion,nombre,siglas,direccion,telefono,fecha_creacion
58,1,1,1,REGISTRO DE INFORMACIÓN CATASTRAL,GT-NIT-44916825,,,
59,1,1,1,"MUNICIPALIDAD DE SAN MIGUEL PETAPA, GUATEMALA",GT-NIT-6720307,,,
60,1,1,1,MINISTERIO DE ECONOMIA,GT-NIT-3440494,,,
61,1,1,1,MINISTERIO DE EDUCACIÓN,GT-NIT-3225399,,,
62,1,1,1,ASOCIACION DEPORTIVA NACIONAL DE GOLF DE GUATEMALA,GT-NIT-7108303,,,
63,1,1,1,"ASOCIACIÓN OBRAS SOCIALES DEL SANTO HERMANO PEDRO, F.F.",GT-NIT-5461987,,,
64,1,1,1,FONDO DE DESARROLLO INDIGENA GUATEMALTECO -FODIGUA-,GT-NIT-7844352,,,
65,1,1,1,SECRETARÍA DE COMUNICACIÓN SOCIAL DE LA PRESIDENCIA DE LA REPÚBLICA,GT-NIT-3377873,,,
66,1,1,1,ASOCIACION CHAB'IL IK CHIK' AJB'OM -STA. MA.CAHABON ALT.VER,GT-NIT-10127310K,,,
67,1,1,1,SECRETARÍA PRESIDENCIAL DE LA MUJER,GT-NIT-25257706,,,
68,1,1,1,SECRETARÍA DE LA PAZ,GT-NIT-7372167,,,
69,1,1,1,ORGANIZACION CRISTIANA DE BENEFICIO SOCIAL ESPERANZA DE VIDA ONG,GT-NIT-37844253,,,
70,1,1,1,"MUNICIPALIDAD DE SAN JUAN IXCOY, HUEHUETENANGO",GT-NIT-5992818,,,
71,1,1,1,SECRETARÍA DE PLANIFICACIÓN Y PROGRAMACIÓN DE LA PRESIDENCIA,GT-NIT-16369823,,,
72,1,1,1,MINISTERIO DE FINANZAS PÚBLICAS,GT-NIT-3378284,,,
73,1,1,1,BANCO DE GUATEMALA,GT-NIT-320587,,,
74,1,1,1,MANCOMUNIDAD DE MUNICIPIOS DE DESARROLLO INTEGRAL DE LA CUENCA COPANCH'ORTI',GT-NIT-32080611,,,
75,1,1,1,"MUNICIPALIDAD DE SAN CRISTÓBAL TOTONICAPAN, TOTONICAPÁN",GT-NIT-6651437,,,
76,1,1,1,"MUNICIPALIDAD DE GUATEMALA, GUATEMALA",GT-NIT-3441024,,,
77,1,1,1,INSTITUTO GUATEMALTECO DE TURISMO -INGUAT-,GT-NIT-3441008,,,
78,1,1,1,"MUNICIPALIDAD DE SAN JOSÉ, ESCUINTLA",GT-NIT-4143914,,,
79,1,1,1,"MUNICIPALIDAD DE OLINTEPEQUE, QUETZALTENANGO",GT-NIT-6720749,,,
80,1,1,1,CREDITO HIPOTECARIO NACIONAL  -CHN-,GT-NIT-330388,,,
81,1,1,1,"MUNICIPALIDAD DE NUEVA SANTA ROSA, SANTA ROSA",GT-NIT-629524K,,,
82,1,1,1,"""ASOCIACION DE DESARROLLO INTEGRAL IXIL LOCHB'ALIB""",GT-NIT-75503514,,,
83,1,1,1,"MUNICIPALIDAD DE DOLORES, PETÉN",GT-NIT-3683176,,,
84,1,1,1,MINISTERIO DE RELACIONES EXTERIORES,GT-NIT-3377946,,,
85,1,1,1,UNIVERSIDAD DE SAN CARLOS DE GUATEMALA -USAC-,GT-NIT-2551179,,,
86,1,1,1,"MUNICIPALIDAD DE SAN RAFAEL LAS FLORES, SANTA ROSA",GT-NIT-644279K,,,
87,1,1,1,INSTITUTO DE FOMENTO MUNICIPAL  -INFOM-,GT-NIT-974250,,,
88,1,1,1,"MUNICIPALIDAD DE PASTORES, SACATEPÉQUEZ",GT-NIT-6262325,,,
89,1,1,1,"MUNICIPALIDAD DE CHINAUTLA, GUATEMALA",GT-NIT-2990555,,,
90,1,1,1,"MUNICIPALIDAD DE UNIÓN CANTINIL, HUEHUETENANGO",GT-NIT-44341008,,,
91,1,1,1,"MUNICIPALIDAD DE SANTA LUCIA UTATLAN, SOLOLÁ",GT-NIT-6712207,,,
92,1,1,1,"MUNICIPALIDAD DE SAN MARTÍN SACATEPEQUEZ, QUETZALTENANGO",GT-NIT-7567561,,,
93,1,1,1,"FUNDACION PARA EL DESARROLLO Y EDUCACION DE LA MUJER INDIGENA ""FUNDEMI-TALITA KUMI""",GT-NIT-8196834,,,
94,1,1,1,PROCURADURIA GENERAL DE LA NACIÓN,GT-NIT-7177933,,,
95,1,1,1,"MUNICIPALIDAD DE COMITANCILLO, SAN MARCOS",GT-NIT-6596223,,,
96,1,1,1,FEDERACION NACIONAL DE TENIS DE CAMPO,GT-NIT-6200230,,,
97,1,1,1,MUNICIPALIDAD DE RAXRUHA ALTA VERAPAZ,GT-NIT-61655066,,,
98,1,1,1,"MUNICIPALIDAD DE SANTA CATARINA PINULA, GUATEMALA",GT-NIT-6180698,,,
99,1,1,1,FUNDACION AYUDAME A ESCUCHAR BARBARA NICOLLE,GT-NIT-83203133,,,
100,1,1,1,"MUNICIPALIDAD DE AMATITLAN, GUATEMALA",GT-NIT-3180700,,,
101,1,1,1,FEDERACION NACIONAL DE BADMINTON DE GUATEMALA,GT-NIT-6180221,,,
102,1,1,1,"MUNICIPALIDAD DE EL PROGRESO, JUTIAPA",GT-NIT-6316131,,,
103,1,1,1,EMPRESA ELÉCTRICA MUNICIPAL DE ZACAPA,GT-NIT-113209479,,,
